make[4]: Entering directory '/home/benni/git/linux-stable-rc'
make[5]: Entering directory '/home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64'
#
# configuration written to .config
#
Using .config as base
Merging /home/benni/git/linux-stable-rc/kernel/configs/tiny.config
Value of CONFIG_KERNEL_XZ is redefined by fragment /home/benni/git/linux-stable-rc/kernel/configs/tiny.config:
Previous value: # CONFIG_KERNEL_XZ is not set
New value: CONFIG_KERNEL_XZ=y

Value of CONFIG_CC_OPTIMIZE_FOR_SIZE is redefined by fragment /home/benni/git/linux-stable-rc/kernel/configs/tiny.config:
Previous value: # CONFIG_CC_OPTIMIZE_FOR_SIZE is not set
New value: CONFIG_CC_OPTIMIZE_FOR_SIZE=y

Value of CONFIG_SLUB_TINY is redefined by fragment /home/benni/git/linux-stable-rc/kernel/configs/tiny.config:
Previous value: # CONFIG_SLUB_TINY is not set
New value: CONFIG_SLUB_TINY=y

Merging /home/benni/git/linux-stable-rc/arch/x86/configs/tiny.config
Value of CONFIG_UNWINDER_GUESS is redefined by fragment /home/benni/git/linux-stable-rc/arch/x86/configs/tiny.config:
Previous value: # CONFIG_UNWINDER_GUESS is not set
New value: CONFIG_UNWINDER_GUESS=y

#
# merged configuration written to .config (needs make)
#
#
# configuration written to .config
#
make[5]: Leaving directory '/home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64'
make[4]: Leaving directory '/home/benni/git/linux-stable-rc'
make[4]: Entering directory '/home/benni/git/linux-stable-rc'
make[5]: Entering directory '/home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64'
.config:1459:warning: override: reassigning to symbol PRINTK
.config:1463:warning: override: reassigning to symbol TTY
.config:1466:warning: override: reassigning to symbol BLK_DEV_INITRD
.config:1470:warning: override: reassigning to symbol BINFMT_ELF
.config:1471:warning: override: reassigning to symbol BINFMT_SCRIPT
#
# configuration written to .config
#
make[5]: Leaving directory '/home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64'
make[4]: Leaving directory '/home/benni/git/linux-stable-rc'
make[4]: Entering directory '/home/benni/git/linux-stable-rc'
make[5]: Entering directory '/home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64'
  SYNC    include/config/auto.conf
  UPD     include/generated/uapi/linux/version.h
  UPD     include/generated/compile.h
  UPD     include/config/kernel.release
  UPD     include/generated/utsrelease.h
  DESCEND objtool
  CC      arch/x86/kernel/asm-offsets.s
  INSTALL libsubcmd_headers
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/libsubcmd/exec-cmd.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/libsubcmd/help.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/libsubcmd/pager.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/libsubcmd/parse-options.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/libsubcmd/run-command.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/libsubcmd/sigchain.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/libsubcmd/subcmd-config.o
  CC      kernel/sched/rq-offsets.s
  LD      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/libsubcmd/libsubcmd-in.o
  AR      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/libsubcmd/libsubcmd.a
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/weak.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/special.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/builtin-check.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/arch/x86/decode.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/elf.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/arch/x86/special.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/objtool.o
  CC      /home/benni/git/kernel-test-stable-rc/build/tinyconfig-x86_64/tools/objtool/arch/x86/orc.o
